antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'fatigue', 'chills', 'phlegm', 'cough'})",frozenset({'chest_pain'}),0.06097560975609756,0.14146341463414633,0.06097560975609756,1.0,7.06896551724138,1.0,0.052349791790600834,inf,0.9142857142857144,0.4310344827586207,1.0,0.7155172413793104
"frozenset({'chills', 'phlegm', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.06219512195121951,0.14146341463414633,0.06219512195121951,1.0,7.06896551724138,1.0,0.05339678762641285,inf,0.915474642392718,0.43965517241379315,1.0,0.7198275862068966
"frozenset({'high_fever', 'chills', 'phlegm', 'malaise'})",frozenset({'chest_pain'}),0.06219512195121951,0.14146341463414633,0.06219512195121951,1.0,7.06896551724138,1.0,0.05339678762641285,inf,0.915474642392718,0.43965517241379315,1.0,0.7198275862068966
"frozenset({'malaise', 'chills', 'phlegm', 'fatigue', 'cough'})",frozenset({'chest_pain'}),0.05853658536585366,0.14146341463414633,0.05853658536585366,1.0,7.06896551724138,1.0,0.050255800118976804,inf,0.911917098445596,0.4137931034482759,1.0,0.7068965517241379
"frozenset({'high_fever', 'chills', 'phlegm', 'fatigue', 'cough'})",frozenset({'chest_pain'}),0.05731707317073171,0.14146341463414633,0.05731707317073171,1.0,7.06896551724138,1.0,0.049208804283164785,inf,0.9107373868046572,0.4051724137931035,1.0,0.7025862068965517
"frozenset({'high_fever', 'phlegm', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.06219512195121951,0.14146341463414633,0.06219512195121951,1.0,7.06896551724138,1.0,0.05339678762641285,inf,0.915474642392718,0.43965517241379315,1.0,0.7198275862068966
frozenset({'phlegm'}),frozenset({'chest_pain'}),0.07195121951219512,0.14146341463414633,0.07195121951219512,1.0,7.06896551724138,1.0,0.061772754312908976,inf,0.9250985545335084,0.5086206896551725,1.0,0.7543103448275862
"frozenset({'high_fever', 'malaise', 'chills', 'phlegm', 'cough'})",frozenset({'chest_pain'}),0.05853658536585366,0.14146341463414633,0.05853658536585366,1.0,7.06896551724138,1.0,0.050255800118976804,inf,0.911917098445596,0.4137931034482759,1.0,0.7068965517241379
"frozenset({'high_fever', 'malaise', 'chills', 'phlegm', 'fatigue'})",frozenset({'chest_pain'}),0.05853658536585366,0.14146341463414633,0.05853658536585366,1.0,7.06896551724138,1.0,0.050255800118976804,inf,0.911917098445596,0.4137931034482759,1.0,0.7068965517241379
"frozenset({'chills', 'cough'})",frozenset({'chest_pain'}),0.06585365853658537,0.14146341463414633,0.06585365853658537,1.0,7.06896551724138,1.0,0.0565377751338489,inf,0.9190600522193212,0.4655172413793104,1.0,0.7327586206896552
"frozenset({'chills', 'phlegm'})",frozenset({'chest_pain'}),0.06829268292682927,0.14146341463414633,0.06829268292682927,1.0,7.06896551724138,1.0,0.05863176680547294,inf,0.9214659685863876,0.48275862068965525,1.0,0.7413793103448276
"frozenset({'high_fever', 'phlegm', 'malaise'})",frozenset({'chest_pain'}),0.06585365853658537,0.14146341463414633,0.06585365853658537,1.0,7.06896551724138,1.0,0.0565377751338489,inf,0.9190600522193212,0.4655172413793104,1.0,0.7327586206896552
"frozenset({'phlegm', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.06585365853658537,0.14146341463414633,0.06585365853658537,1.0,7.06896551724138,1.0,0.0565377751338489,inf,0.9190600522193212,0.4655172413793104,1.0,0.7327586206896552
"frozenset({'high_fever', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.06341463414634146,0.14146341463414633,0.06341463414634146,1.0,7.06896551724138,1.0,0.054443783462224865,inf,0.9166666666666667,0.4482758620689656,1.0,0.7241379310344828
"frozenset({'high_fever', 'phlegm', 'cough'})",frozenset({'chest_pain'}),0.06463414634146342,0.14146341463414633,0.06463414634146342,1.0,7.06896551724138,1.0,0.055490779298036884,inf,0.9178617992177315,0.456896551724138,1.0,0.728448275862069
"frozenset({'fatigue', 'chills', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.05975609756097561,0.14146341463414633,0.05975609756097561,1.0,7.06896551724138,1.0,0.051302795954788816,inf,0.913099870298314,0.4224137931034483,1.0,0.7112068965517242
"frozenset({'fatigue', 'high_fever', 'chills', 'cough'})",frozenset({'chest_pain'}),0.05853658536585366,0.14146341463414633,0.05853658536585366,1.0,7.06896551724138,1.0,0.050255800118976804,inf,0.911917098445596,0.4137931034482759,1.0,0.7068965517241379
"frozenset({'loss_of_appetite', 'dark_urine'})",frozenset({'yellowing_of_eyes'}),0.08902439024390243,0.16585365853658537,0.08780487804878048,0.9863013698630136,5.946817082997582,1.0,0.07303985722784057,60.892682926829025,0.9131340175516882,0.5255474452554744,0.9835776656252503,0.757856567284448
"frozenset({'abdominal_pain', 'loss_of_appetite', 'dark_urine'})",frozenset({'yellowing_of_eyes'}),0.08536585365853659,0.16585365853658537,0.08414634146341464,0.9857142857142857,5.943277310924369,1.0,0.0699881023200476,58.390243902438776,0.9093719806763284,0.5036496350364964,0.9828738512949039,0.7465336134453782
"frozenset({'yellowish_skin', 'loss_of_appetite', 'dark_urine'})",frozenset({'yellowing_of_eyes'}),0.08414634146341464,0.16585365853658537,0.08292682926829269,0.9855072463768115,5.942028985507246,1.0,0.0689708506841166,57.55609756097535,0.9081225033288947,0.4963503649635037,0.9826256462412069,0.7427536231884058
"frozenset({'abdominal_pain', 'loss_of_appetite', 'yellowish_skin', 'dark_urine'})",frozenset({'yellowing_of_eyes'}),0.08048780487804878,0.16585365853658537,0.07926829268292683,0.9848484848484849,5.938057040998217,1.0,0.06591909577632361,55.05365853658541,0.9043868598245255,0.4744525547445256,0.9818359028885345,0.7313948306595366
frozenset({'swelled_lymph_nodes'}),frozenset({'malaise'}),0.07073170731707316,0.14268292682926828,0.06951219512195123,0.9827586206896554,6.887709991158269,1.0,0.059419988102320055,49.72439024390298,0.9198784362481005,0.4830508474576273,0.9798891450434102,0.7349690539345713
"frozenset({'malaise', 'chest_pain'})",frozenset({'phlegm'}),0.07073170731707316,0.07195121951219512,0.06951219512195123,0.9827586206896554,13.65867913500877,1.0,0.06442296252230816,53.826829268293274,0.9973292812082699,0.9500000000000003,0.9814219040282751,0.9744301578024549
"frozenset({'chills', 'chest_pain'})",frozenset({'phlegm'}),0.06951219512195123,0.07195121951219512,0.06829268292682927,0.9824561403508771,13.654475170978294,1.0,0.06329119571683522,52.898780487804714,0.995997940460588,0.9333333333333332,0.981095972519999,0.9658043413618793
"frozenset({'high_fever', 'chest_pain'})",frozenset({'phlegm'}),0.06951219512195123,0.07195121951219512,0.06829268292682927,0.9824561403508771,13.654475170978294,1.0,0.06329119571683522,52.898780487804714,0.995997940460588,0.9333333333333332,0.981095972519999,0.9658043413618793
"frozenset({'fatigue', 'chest_pain'})",frozenset({'phlegm'}),0.06951219512195123,0.07195121951219512,0.06829268292682927,0.9824561403508771,13.654475170978294,1.0,0.06329119571683522,52.898780487804714,0.995997940460588,0.9333333333333332,0.981095972519999,0.9658043413618793
"frozenset({'cough', 'malaise'})",frozenset({'phlegm'}),0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
"frozenset({'fatigue', 'malaise', 'chest_pain'})",frozenset({'phlegm'}),0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
"frozenset({'malaise', 'cough', 'chest_pain'})",frozenset({'phlegm'}),0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
"frozenset({'high_fever', 'malaise', 'chest_pain'})",frozenset({'phlegm'}),0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
"frozenset({'joint_pain', 'abdominal_pain'})",frozenset({'yellowing_of_eyes'}),0.06707317073170732,0.16585365853658537,0.06585365853658537,0.9818181818181818,5.919786096256684,1.0,0.05472932778108269,45.87804878048779,0.8908254659888648,0.39416058394160586,0.9782030834662414,0.6894385026737968
"frozenset({'cough', 'malaise'})","frozenset({'phlegm', 'chest_pain'})",0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
